summoner name,game duration,win,champion,champion id,champion level,deaths,kills,assists,role,wards killed,wards placed,dragon kills,baron kills,damage dealt to objectives,damage dealt to turrets,turrets lost,turret kills,total minions killed,inhibitor takedowns,inhibitor kills
WENB0,1582,0,Xayah,498,14,5,0,4,CARRY,5,10,0,0,4648,682,7,0,223,0,0
trymbol,1582,0,Zoe,142,10,5,0,7,SUPPORT,12,25,0,0,699,604,7,0,42,0,0
BYLB Dawn,1582,1,Irelia,39,16,2,10,6,SOLO,2,8,0,0,18928,6771,3,3,257,0,0
stipe69,1582,1,Sejuani,113,14,2,2,11,NONE,4,1,2,0,29009,511,3,0,21,0,0
Percy Magic,1582,1,Yone,777,16,3,3,4,SOLO,2,11,0,0,12420,2334,3,1,235,0,0
i can fight,1582,1,Kaisa,145,15,2,7,5,SOLO,2,11,0,0,12858,5387,3,2,236,0,0
Chapter 4,1582,1,Rakan,497,11,4,1,14,NONE,7,43,0,0,927,343,3,1,32,0,0
Azyrite,1825,1,Olaf,2,17,4,10,6,SOLO,1,11,0,0,21933,9308,4,3,216,1,1
Zubac,1825,1,Rell,526,16,7,1,24,NONE,5,3,1,0,21040,0,4,1,8,2,1
Percy Magic,1825,1,Kaisa,145,17,5,11,6,SOLO,5,11,0,0,6343,4733,4,1,248,4,3
Maître 7,1825,1,Xayah,498,15,6,9,6,CARRY,7,9,2,1,38861,6719,4,4,217,4,0
Shyr0,1825,1,Heimerdinger,74,14,5,1,19,SUPPORT,4,35,0,0,10205,1539,4,2,33,3,0
HMpeiwan JW,1825,0,Renekton,58,16,6,5,11,SOLO,3,7,0,0,7889,3874,11,2,252,0,0
XnS Sama,1825,0,Lillia,876,16,7,7,7,NONE,1,9,0,1,21562,124,11,0,50,0,0
Sägen,1825,0,TwistedFate,4,15,8,7,12,DUO,0,8,0,0,11688,6520,11,1,190,0,0
unfilmed,1825,0,Tristana,18,14,7,6,4,DUO,5,8,1,0,10670,984,11,1,165,0,0
Chapter 4,1825,0,Braum,201,13,4,2,16,SUPPORT,5,38,0,0,1527,21,11,0,32,0,0
TWÌTCH BerzanHan,1559,0,Yone,777,14,5,4,4,SOLO,0,7,0,0,0,0,11,0,167,0,0
CG Høkage,1559,0,Belveth,200,14,6,3,6,NONE,1,10,3,0,25073,2388,11,1,45,0,0
pancuh,1559,0,Katarina,55,15,7,8,2,SOLO,5,2,0,0,4998,1215,11,1,228,0,0
Z1ER,1559,0,Kaisa,145,13,7,1,9,CARRY,5,9,0,0,5533,837,11,0,192,0,0
life is sorrow,1559,0,Gragas,79,12,5,1,9,SUPPORT,8,20,0,0,1365,102,11,0,33,0,0
Caucha,1559,1,Renekton,58,13,8,2,7,SOLO,1,8,0,0,6666,6666,2,2,176,1,1
krellektp,1559,1,Zac,154,14,2,6,8,NONE,6,3,0,1,23041,1506,2,3,32,3,0
Sägen,1559,1,TwistedFate,4,16,3,11,10,SOLO,1,10,0,0,12286,10659,2,4,190,2,1
spongelowbob,1559,1,Xayah,498,15,2,6,13,CARRY,1,9,0,0,11218,3259,2,2,188,1,1
Chapter 4,1559,1,Rakan,497,13,2,5,21,SUPPORT,6,36,0,0,2340,891,2,0,38,2,0
16ar,1394,0,Singed,27,13,4,4,1,SOLO,0,5,0,0,2463,502,10,0,122,0,0
krellektp,1394,0,Zac,154,12,5,1,4,NONE,7,3,2,1,11248,0,10,0,45,0,0
tonzaya,1394,0,Yone,777,13,2,1,4,SOLO,3,8,0,0,3897,2144,10,1,182,0,0
Mutant Grzegorz ,1394,0,Ezreal,81,12,8,5,3,CARRY,8,8,0,0,10652,1791,10,1,182,0,0
Redemptíon,1394,0,Janna,40,10,7,0,5,SUPPORT,9,23,0,0,1124,509,10,0,11,0,0
Nouji,1394,1,Fiora,114,15,3,3,1,DUO,1,7,0,0,20649,17451,2,5,217,1,1
MrBxnxBxxr,1394,1,LeeSin,64,13,1,12,4,NONE,1,14,0,0,26839,0,2,0,12,1,0
sand flea,1394,1,Ahri,103,13,1,5,10,DUO,2,9,0,0,9035,3015,2,2,164,1,1
T1 IMP,1394,1,Vayne,67,11,5,2,7,CARRY,1,5,1,0,5193,3709,2,3,163,1,0
Chapter 4,1394,1,Rakan,497,10,1,4,14,SUPPORT,5,35,0,0,479,183,2,0,46,1,0
G4KG05,1559,1,Yone,777,15,4,6,3,SOLO,3,7,0,0,17065,3849,3,1,202,1,0
TR1NKET04,1559,1,Ivern,427,14,1,0,13,NONE,11,2,2,1,22699,4747,3,2,23,1,0
kronotrop lover,1559,1,Syndra,134,15,1,4,3,SOLO,2,7,0,0,6116,2765,3,1,227,1,0
77PT Warszi,1559,1,Varus,110,14,4,7,8,CARRY,2,12,0,0,9513,4846,3,2,212,1,1
Toro Adventures,1559,1,Alistar,12,12,4,2,12,SUPPORT,9,26,0,0,814,388,3,1,39,1,0
I AM BÁTMAN,1559,0,Renekton,58,15,4,4,2,SOLO,2,11,0,0,13308,2366,9,1,222,0,0
Cast,1559,0,Kindred,203,13,4,3,7,NONE,7,5,1,0,16872,1805,9,1,13,0,0
DetBirken,1559,0,Jayce,126,14,5,4,2,SOLO,4,11,0,0,3788,2939,9,1,196,0,0
NE storm,1559,0,Xerath,101,13,4,2,3,CARRY,1,9,0,0,1607,1171,9,0,191,0,0
Chapter 4,1559,0,Rakan,497,11,2,1,8,SUPPORT,6,37,0,0,1785,693,9,0,35,0,0
Bublekanosss,783,0,Yone,777,7,2,0,1,SUPPORT,0,4,0,0,210,0,7,0,36,0,0
Juicyboy,783,0,RekSai,421,7,4,1,2,SUPPORT,3,1,0,0,2216,0,7,0,6,0,0
DetBirken,783,0,Viktor,112,8,2,0,0,DUO,0,2,0,0,57,57,7,0,79,0,0
pepe seppe,783,0,Twitch,29,7,3,1,0,SUPPORT,1,4,0,0,0,0,7,0,67,0,0
OVA Reddy,783,0,Rell,526,6,3,1,1,SUPPORT,1,13,0,0,0,0,7,0,20,0,0
G4KG05,783,1,Jayce,126,9,1,3,2,SUPPORT,0,3,0,0,8537,8537,0,4,97,1,0
sSirius Black,783,1,Elise,60,8,0,4,3,SUPPORT,2,3,0,0,12718,3716,0,1,9,1,0
pancuh,783,1,Zed,238,9,0,3,0,SUPPORT,0,1,0,0,3021,3021,0,0,85,1,1
PROJECT KYKS,783,1,Xayah,498,8,2,3,3,SUPPORT,1,3,0,0,2892,2892,0,2,99,1,0
Chapter 4,783,1,Rakan,497,7,0,1,6,SUPPORT,0,11,0,0,1409,1409,0,0,26,1,0
Dont type PLAY,913,0,Maokai,57,9,4,2,1,SUPPORT,1,5,0,0,7514,0,6,0,9,0,0
NightyNN2,913,0,Olaf,2,7,6,1,0,SUPPORT,0,3,0,0,0,0,6,0,47,0,0
Coyote Stαrk,913,0,Sylas,517,9,4,2,1,DUO,0,5,0,0,0,0,6,0,92,0,0
Chains,913,0,Ezreal,81,8,8,2,3,SUPPORT,0,5,0,0,860,860,6,0,77,0,0
Inori Yużuriha,913,0,Janna,40,7,3,2,3,SUPPORT,1,8,0,0,0,0,6,0,6,0,0
Element Empress,913,1,Qiyana,246,10,1,1,5,SUPPORT,1,1,0,0,3403,3403,0,1,86,0,0
Karlovačko,913,1,Rengar,107,10,3,8,4,SUPPORT,1,5,2,0,23078,2901,0,1,9,0,0
saint pabΙo,913,1,Rumble,68,12,0,8,3,SUPPORT,0,4,0,0,6144,6144,0,2,140,0,0
SK Nenrislol,913,1,Seraphine,147,10,5,4,4,SUPPORT,0,5,0,0,3982,3982,0,1,111,0,0
Chapter 4,913,1,Rakan,497,8,0,4,10,SUPPORT,1,12,0,0,245,33,0,1,32,0,0
I love Mariam,1612,1,Vayne,67,16,7,6,4,SOLO,3,11,0,0,14292,14292,6,3,229,1,0
GeefMeEnKlapPapa,1612,1,JarvanIV,59,13,8,2,11,NONE,5,2,1,0,26005,33,6,0,18,0,0
Guirake le Crack,1612,1,Syndra,134,16,2,4,2,SOLO,0,11,0,0,2408,2210,6,0,263,1,0
Tazaku,1612,1,Ezreal,81,14,6,6,7,CARRY,7,10,0,0,6821,6821,6,3,245,1,1
Chapter 4,1612,1,Soraka,16,12,4,4,11,SUPPORT,7,20,0,0,1038,868,6,1,20,1,0
AS Toasti,1612,0,Yone,777,15,4,4,6,SOLO,1,10,2,0,30419,0,8,0,161,0,0
ME LittleLaudi,1612,0,Ivern,427,14,4,3,14,NONE,4,3,1,1,22137,50,8,0,12,0,0
SHYIJYQQD,1612,0,Tristana,18,17,3,7,6,CARRY,4,10,0,0,20706,11810,8,2,248,0,0
disconsumption,1612,0,Ziggs,115,15,3,5,10,SOLO,4,12,0,0,24221,20830,8,4,205,0,0
death ends,1612,0,Pyke,555,12,8,7,8,SUPPORT,6,40,0,0,128,0,8,0,27,0,0
ØØØÆÆÆØØØ,1496,0,Talon,91,12,6,8,4,NONE,3,4,0,0,652,652,9,1,110,0,0
Ceenaryu,1496,0,Hecarim,120,13,10,8,6,NONE,2,1,0,0,28518,568,9,1,20,0,0
c0cky movement,1496,0,Ahri,103,15,4,4,8,SOLO,0,11,0,0,756,756,9,0,203,0,0
TakeSet sama,1496,0,Xayah,498,13,9,7,9,CARRY,2,7,0,0,5116,1732,9,1,177,0,0
Chapter 4,1496,0,Soraka,16,12,6,1,18,SUPPORT,1,18,0,0,227,227,9,0,8,0,0
Squeezie,1496,1,Garen,86,16,4,15,4,CARRY,2,6,0,0,14049,12448,3,5,208,1,0
TTV DarkAuraLOL,1496,1,Kayn,141,16,5,15,8,NONE,1,3,2,1,35041,1731,3,1,40,1,0
CzekøChad,1496,1,Annie,1,14,4,2,11,SOLO,3,7,0,0,6733,1132,3,0,167,1,0
feel my kirin,1496,1,Ashe,22,13,7,2,7,SOLO,6,7,0,0,13449,7354,3,3,176,1,1
SCB Romeo,1496,1,Rakan,497,12,8,1,13,SUPPORT,1,24,0,0,972,848,3,0,28,1,0
I rank 1 ,1591,1,Swain,50,15,3,8,7,DUO,0,10,0,0,8050,1324,2,1,145,0,0
FA Warrior,1591,1,RekSai,421,15,0,3,11,NONE,1,6,3,1,44759,711,2,1,12,0,0
TRYHARDWIN,1591,1,Irelia,39,16,2,7,7,DUO,1,11,0,0,10744,7318,2,4,263,1,0
Smorcman73,1591,1,Samira,360,14,1,6,3,CARRY,3,6,0,0,10917,4474,2,1,223,1,1
SLY BackSteeeL,1591,1,Rell,526,12,4,1,14,SUPPORT,10,27,0,0,1923,0,2,0,30,1,0
Odoamne,1591,0,Gnar,150,15,5,3,7,SOLO,3,8,0,0,6320,5593,7,1,219,0,0
qwqw,1591,0,Nidalee,76,13,6,2,6,NONE,6,6,0,0,7144,113,7,1,12,0,0
ØØØÆÆÆØØØ,1591,0,Talon,91,12,8,2,1,SOLO,2,6,0,0,343,264,7,0,126,0,0
You gave me pain,1591,0,Karthus,30,15,2,3,2,CARRY,3,7,0,0,2327,419,7,0,269,0,0
Chapter 4,1591,0,Soraka,16,12,4,0,6,SUPPORT,5,27,0,0,647,647,7,0,20,0,0
Handige Hans,1373,0,Pantheon,80,12,9,4,0,NONE,1,3,0,0,0,0,6,0,129,0,0
akksor,1373,0,FiddleSticks,9,12,1,6,1,NONE,1,0,0,0,11323,131,6,0,42,0,0
kronotrop lover,1373,0,Syndra,134,13,7,2,3,DUO,1,7,0,0,344,344,6,0,159,0,0
